Name,Email,School,Major,grade,Interest,Interestlevel,Code
王思宏,cplko@eastday.com,华中科技大学，纽约州立大学,建筑学,研三,设计与人工智能,Level2,初级
赵嘉惠,itmjdlaj@265.com,大连理工大学,设计学（环境方向）,研一,AI基础编程与空间设计上应用的相关案例,Level1,中极
杨皇惟,clcohq@126.com,南京大学,城市与建筑设计及其理论,研一,设计与AI结合的入门 以及可以应用解决哪些实际问题,Level1,高级
王明均,wvdqjdvinefw@163.net,伦敦大学,服务设计,研一,AI基础编程,Level1,高级
杨俊吉,ilamqdkjecbbu@china.com,悉尼大学,交互设计,研一,AI交互编程和设计,Level2,初级
陈威俊,asvqfolrojil@sohu.com,浙江大学,建筑学,大五,深度学习、智慧城市、数据可视化,Level1,高级
胡家豪,sdgendonswnr@35.com,伦敦艺术大学,服务设计,研一,AI在车联网领域的应用,Level1,初级
洪伟雨,apigdgmjhf@email.com.cn,宾夕法尼亚大学,教育科技,研一,AI基础编程及在线上教育中的应用,Level1,初级
陈韵淳,tqicioqliw@sogou@com,天津大学,建筑学,大四,AI编程及交互设计,Level3,高级
许嘉人,holkavclasrw@265.com,印第安纳大学布卢明顿,人机交互与设计,研一,AI技术在交互设计中的应用，以及具体的落地项目,Level1,初级
吴慧娟,ikj@sohu.com,卡耐基梅隆大学,娱乐技术,研一,AI技术与AR/VR及游戏结合的可能性,Level1,初级
李雅婷,aopgufpo@msn.com,路易斯安那州立大学,景观建筑,大五,AI技术的未来发展趋势,Level3,初级
虞升贤,bhaulwmscjidbtb@sina.com,普瑞特艺术学院,交互设计,研二,AI在交互设计中的应用,Level1,高级
郭玲发,afgfcwdrfohnfhg@21cn.com,丹麦哥本哈根交互设计学院,交互设计,夏校,AI编程及可能性交互应用,Level1,初级
谢胤一,wkqb@etang.com,同济大学+康奈尔大学,景观设计,研二,AI技术在智能家居/智慧城市领域的应用,Level1,中极
林淑娟,spgwlumsfv@163.com,南京理工大学,工业设计,大四,编程在设计中的应用,Level1,初级
吴虹志,jpswiudghffuc@yeah.net,交通大学,计算机科学与技术,已毕业,AI与设计结合以及场景应用,Level1,初级
黄圣文,oun@enet.com.cn,南京工业大学,信息科学与工程,已毕业,设计与AI结合的方式与场景应用，以及具体落地项目,Level2,初级
陈瑞柏,kbkmsw@eyou.com,同济大学,工业设计,研二,AI与设计/数据可视化/AI在交互设计中的应用,Level1,初级
殷文馨,psbpjpukowb@265.com,MIT,人机交互 & 建筑,研一,AI与AR/VR在医疗健康领域的结合应用,Level1,中极
郭品玮,gsnkjujuvvpple@sogou@com,同济大学 哥伦比亚大学,建筑学,研二,AI 智慧城市 生成式设计 ,Level1,初级
洪采木,feifgnl@163.net,同济大学,人工智能与数据设计,研一,DesignNet,Level2,初级
吕少祯,kjdma@netease.com,同济大学,媒体与传达,研三,Ai编程/数据分析与可视化实现,Level1,高级
林淑贞,jjefucicfwrujw@china.com,同济大学,人工智能与数据设计,研二,AI在色彩辅助设计的应用,Level3,中极
王雅雯,nfisqoophkuvlf@china.com,同济大学,人工智能与数据设计,博一,Ai编程/数据分析与可视化实现,Level3,高级
李政妃,adgbwbh@sogou@com,湖南大学,信息与交互设计,研三,设计与人工智能,Level2,高级
何莹隆,fwht@hotmail.com,路易斯安那州立大学,机械工程,大四,AI算法和模型训练优化,Level1,初级
张毓羽,nmungpcsrsl@citiz.com,同济大学,人工智能与数据设计,研一,AI相关产品,Level1,中极
张爱火,fjowotufqtllufa@etang.com,同济大学,设计历史与理论,研二,设计知识化,Level3,初级
陈雅辰,gtppgjnp@yeah.net,同济大学,交互设计,研三,DesignNet,Level2,初级
许俊毅,uhl@yahoo.com.cn,清华大学 麻省理工学院,设计学,博三,机器学习和生成式设计,Level1,初级
竺淑娟,cvuioa@china.com,同济大学,人工智能与数据设计,博一,AI算法与感知体验设计,Level1,初级
